buyer_name_raw,buyer_name_canonical
Karbon Homes,Karbon Homes
Kier Transportation,Kier Transportation
Rushmoor Borough Council,Rushmoor Borough Council
Restoration & Renewal Delivery Authority Ltd,Restoration & Renewal Delivery Authority Ltd
Chiseldon Parish Council,Chiseldon Parish Council
Croughton Parish Council,Chiseldon Parish Council
Notre Dame High School,Notre Dame High School
SOL Services,SOL Services
EFFICIENCY EAST MIDLANDS LIMITED,EFFICIENCY EAST MIDLANDS LIMITED
Darlington Borough Council,Darlington Borough Council
Maidstone and Tunbridge Wells NHS Trust,Maidstone and Tunbridge Wells NHS Trust
NHS Commercial Solution,NHS Commercial Solution
In-Tend e-Tendering,In-Tend e-Tendering
North Northamptonshire Council,North Northamptonshire Council
"ALIGN JV (Bouygues Travaux Publics, VolkerFitzpatrick and Sir Robert McAlpine)","ALIGN JV (Bouygues Travaux Publics, VolkerFitzpatrick and Sir Robert McAlpine)"
Fareham Borough Council,Fareham Borough Council
Fylde Borough Council,Fareham Borough Council
Northern Lighthouse Board,Northern Lighthouse Board
KA23 9RA,KA23 9RA
"Metropolitan Housing Trust Limited, IP16337R","Metropolitan Housing Trust Limited, IP16337R"
The Mercian Trust,The Mercian Trust
GreenSquareAccord,GreenSquareAccord
Dorset Council,Dorset Council
Plymouth Community Homes,Plymouth Community Homes
South Yorkshire Mayoral Combined Authority Group,South Yorkshire Mayoral Combined Authority Group
Met Office,Met Office
The Royal Borough of Windsor and Maidenhead Council,The Royal Borough of Windsor and Maidenhead Council
Wyre Forest District Council,Wyre Forest District Council
Bishops Clyst Parish Council,Bishops Clyst Parish Council
Newcastle-under-Lyme Borough Council,Newcastle-under-Lyme Borough Council
Rother District Council,Rother District Council
Balfour Beatty Vinci HS2,Balfour Beatty Vinci HS2
Borough Council of Kings Lynn and West Norfolk,Borough Council of Kings Lynn and West Norfolk
Borough Council of King's Lynn and West Norfolk,Borough Council of Kings Lynn and West Norfolk
HBC - PARKS,HBC - PARKS
Erewash Borough Council,Erewash Borough Council
Eastleigh Borough Council,Erewash Borough Council
South Kesteven District Council,South Kesteven District Council
Malvern Hills District Council,Malvern Hills District Council
Redditch Borough & Bromsgrove District Councils,Redditch Borough & Bromsgrove District Councils
PROSPER,PROSPER
West Coker Parish Council,West Coker Parish Council
NORTH TYNESIDE COUNCIL,NORTH TYNESIDE COUNCIL
Cheshire Constabulary on behalf of the Police and Crime Commissioner for Cheshire,Cheshire Constabulary on behalf of the Police and Crime Commissioner for Cheshire
NOTTINGHAMSHIRE POLICE,NOTTINGHAMSHIRE POLICE
ProcurePublic,ProcurePublic
Mole Valley District Council,Mole Valley District Council
Coleg y Cymoedd,Coleg y Cymoedd
Golding Homes,Golding Homes
